content,reply,input_len,output_len
Metal pieces from HIP Solar panel fixing drop to resd #.Resd f/back that the vendor said to settle privately but she does not want him to have trouble,"spoken to XXXXX and noted of his concerns regarding the safety measures while carrying out the works. we will bring up to the project director in charge.
",150,154
Solar panel may be unsafely installed at this unit at XXXXX,"Already advised owner to removed the solar item ,still monitoring_x000D_",59,72
"..............................................................................
From :  XXXX
To :  XXXX
CC :  		
Subject :  	solar
Delivered on :  	01/29/2019 11:02:16 AM
'..............................................................................
Hello
whom should I get in touch with in HDB for floating solar needs.
let me know.
thanks
Regards,
XXXX
XXXX
Mobile:  XXXX
Email    : XXXX
Website : XXXX
","Thank you for your email dated 29 Jan 19, and for your company’ s keen interest on our Floating Solar System.
2.        You may liaise with Senior Engineer XXXX via email at XXXX or call him XXXXX to discuss further on the Floating Solar System.
",405,246
"..............................................................................
From :  		XXXX
To :  		XXXX
CC :  		
Subject :  	Rooftop Access Control Solutions
Delivered on :  	12/02/2019 11:32:22 AM
..............................................................................
XXXX XXXX
 Your Ref
 Our Ref 
 Categories
Hi,
I would like to enquire how is  HDB is looking into Access Control for Rooftop Entry especially in light of a few events that happened over the years.
NEC will be able to offer a variety of End to End solutions to ensure the safeties and ease of access control for other government agencies to access the working area on the rooftop.
Appreciate if you are able to put me to across to the engineering / IT team which is looking into this.
Thanks.
Best Regards,
XXXX
","Thank you for getting in touch with HDB.
2)        This is XXXX from Housing   Development Board (HDB). My team and I are looking into the area of access controls for our HDB restricted areas such as switch rooms, pump rooms and rooftop accesses.
3)        Let’s meet up to find out more about NEC’s solutions. Can you contact me at XXXX so that we can arrange for a meeting? Thank you.
",791,387
"XXXXX work on gg at rooftoop creating alot of noise by workers req to more more gentle cos res are sleeping , fr tc worker solar panel project on gg at rooftop","We noted XXXX feedback on the noise created by solar installation works carried out on the rooftop,
We have advised the sub-contractor Site Manager to to remind the works supervisor take extra care when workers are handling heavy building materials during the solar structural  installation. We are happy to inform you that heavy works has been completed on the roof.
Thank you
",159,378
"We received a query on the solar nova project (see attachment) – for OIC’s response, please. Thank you.
","Thank you for your enquiry.
As part of the SolarNova projects, HDB aggregates solar demand from various public agencies and calls for annual bulk tenders. Our latest tender is SolarNova Phase 4 which recently closed on 22 Feb 2019. The tender documents are still available for public access at the Gebiz procurement website at www.gebiz.gov.sg. It is likely that there will be another SolarNova tender, SolarNova Phase 5, at the end of this year.
Could I clarify on what is your specific interest in the SolarNova project? Are you looking at tendering for the projects?
Thank you.
",104,581
Solar panel contractor doing works at rooftop causing her lighting to drop off. Pls contact owner.,"1.        Please refer to your feedback on the lighting affected  by the solar construction works on the rooftop._x000D_
2.        We understood that our contractor had contacted you on how to resolve your light fitting and the rectification._x000D_
3.        We apologise for the inconvenience caused._x000D_
4.        Thank you_x000D_",98,336
"At the void deck, there are a few concrete blocks and cartons left by solar panel contractor. Have been here for more than one month,I'm having wedding from 19 to 21 April 2019. Please remove asap. Req callback urgently for update.","I checked XXXX on 4th April 2019 and did not find any solar building materials in the void deck of Blk 436.
",231,108
"..............................................................................
From :  		XXXX
To :  		XXXX
CC :  		XXXX
Subject :  	For reply : FB201904/0036 : FW: Regards Solar system set-up
Delivered on :  	05/04/2019 03:16:29 PM
..............................................................................
XXX
 Your Ref
 Our Ref 
 Categories
Message Classification: Restricted
Dear HDB
The feedback appended below is forwarded for your response / assistance, please.
When replying to contributor, please share a copy of your reply at reach_reach.gov.sg for our record purposes. 
If the feedback does not come under your agency’s purview, please let us know so that we can follow-up with the relevant agency. 
Thank you.
Regards,
XXXX
XXXXXXXX
Website: www.reach.gov.sg | E-mail: reach_reach.gov.sg |  REACH us on Facebook
reaching everyone for active citizenry _ home
From: XXXXX
Sent: XXXX
To: XXXX
Subject: Re: Regards Solar system set-up
Hi,
Please refer to the lastest e-mail for the additional information. Thank you. Regards
On XXXX  wrote:
Hi, 
Please e-mail the attached file below to the respective department for whatever necessary action. Thanks for your forwarding. (See attached file: Continue Solar System set-up details.docx)
","I refer to your feedback and suggestion email dated 4 April 2019.
Thank you for your interest in the solar installation at the HDB block, which is part of the SolarNova programme that HDB and EDB have jointly embarked on. The solar installation at the rooftop will eventually be connected to the switchroom. Power generated by the solar energy harnessed will be used to power common services, such as lifts, pumps, and lighting in common areas in the daytime.
We thank you for your valuable feedback and support in the SolarNova programme. We can be contacted at XXXX and XXXX if you need further clarification. Thank you.
",1246,623
"..............................................................................
From :  		XXXX
To :  		XXXX
CC :  		
Subject :  	Enquiry about smart HDB homes details
Delivered on :  	23/04/2019 04:58:30 PM
..............................................................................
XXXX
 Your Ref
 Our Ref 
 Categories
Hi
With reference to this article on the Straits Times (https://www.straitstimes.com/singapore/smart-designs-in-punggol-northshore-residences), it is mentioned that there will be smart switches and gateways installed by default.
I would like to know if the specific details are available to the public. For example, what is the wireless technology being used and the brands of the switches.
This would be extremely helpful as the information would help us to plan for our new home.
Thank you
-- 
Regards,
XXXX
","Thank you for your email._x000D_
Yes, Punggol Northshore has been identified to be HDB’s first Smart and Sustainable District._x000D_
As part of the first Smart-Enabled public housing, smart power sockets and high-tech distribution boards are being implemented in these 1,400 HDB units._x000D_
This will facilitate residents adoption of Smart Home solution(s), offered by the industry._x000D_
HDB is currently preparing more detailed information to be shared with the public, and would appreciate your patience on this._x000D_",832,526
